Sang valgt,Sang og kunstner,link,starttidspunkt (i sek),citat / shoutout,citat-sang connection? (x=ja),kommentar,Optaget,,,0,
128,,128,128,#VALUE!,,,107,,,1,
X,intro,https://youtu.be/_D0ZQPqeJkk,0,The ground which i stands compares you superior,,,X,,,5,1
X,Morgendak,https://www.youtube.com/watch?v=1uSlqRsjdLw,0,,,,,,83,10,43
X,Hey du papa,https://www.youtube.com/watch?v=ULrxa1KVzZU&t,6,,,,,,16,25,2
X,Blinding lights - Weeknd,https://www.youtube.com/watch?v=fHI8X4OXluQ,27,,,,,,64,260,24
X,Æggemad,https://www.youtube.com/watch?v=GtsynRbrnFE,109,RIP cafeen i 306,,,X,,106,266,3
X,White & Nerdy,https://www.youtube.com/watch?v=N9qYF9DZPdw,32,Skud ud til hele SM-KID,,,X,,52,305,4
X,day n nite - kid cudi,https://www.youtube.com/watch?v=VrDfSZ_6f4U,84,,,,,,23,334,5
X,Pika girl,https://www.youtube.com/watch?v=H7k3ma7YNmo ,7,Skud ud til anime,,,X,,45,391,6
X,Imperial march,https://youtu.be/-bzWSJG93P8,0,"You two careful, he is a BIG",,,X,,,400,7
X,Duel of the fates,https://youtu.be/xlYCxbBZUCY,44,"Mr speaker, we are for the BIG",,,X,,,410,8
X,without me - eminem,https://www.youtube.com/watch?v=YVkUvmDQ3HY,118,,,,,,26,442,9
X,clown town,https://www.youtube.com/watch?v=lazsZFH-FSw,38,,,,,,118,470,10
X,Creeper aww man,https://www.youtube.com/watch?v=cPJUBQd-PNM,0,Bjørn2020 tro på det,,,X,,44,491,11
X,Infinite power - TheFatRat,https://www.youtube.com/watch?v=3aLyiI2odhU,37,,,,,,95,502,12
X,La Perla,https://www.youtube.com/watch?v=qYF5X7x_cfU,39,Skud ud til russer (og bongs),,,X,,53,515,13
X,Hangover,https://www.youtube.com/watch?v=dLhFDYQHDQY,115,Skud ud til lidt for mange bongs,,,X,,102,557,14
X,Technobajer,https://www.youtube.com/watch?v=1AOZpBG7FHU,60,,,,,,88,644,15
X,Return of the mack- mark morrison,https://www.youtube.com/watch?v=uB1D9wWxd2w,52,,,,,,66,696,16
X,All that she wants - Ace of base,https://www.youtube.com/watch?v=d73tiBBzvFM,50,,,,,,92,764,17
X,levels - avicii,https://www.youtube.com/watch?v=_ovdm2yX4MA,0,,,,,,13,780,18
X,Fortnite Jaxstyle,https://www.youtube.com/watch?v=CteoJ3Q-6cU,14,Skud ud til minecraft,,,X,,54,875,19
X,Vem är du,https://www.youtube.com/watch?v=96SE26NXAAg,0,Skud ud til den store fede tryllestav ;),,,X,,87,894,20
X,Fischer,https://www.youtube.com/watch?v=o3WdLtpWM_c,90,skud ud til ham der bongede,,,X,,7,1189,21
X,Woo hoo - Blur,https://www.youtube.com/watch?v=cBVeNQ-mtcY,0,,,,,,67,1206,22
X,Circle of Life,https://www.youtube.com/watch?v=hwwg8st_5W4,0,SÅ det tid til MOSHPITTT,,,X,,59,1237,23
X,Siuda Kalatuszek - xs projekt,https://www.youtube.com/watch?v=MDCZ0-8cLJ4,0,,,,,,34,1341,25
X,thats not me - intoxicated remix,https://www.youtube.com/watch?v=wUgIueh8Ppg,34,,,,,,25,1359,26
X,the logical song - scooter,https://www.youtube.com/watch?v=4YxTa1AUqps,0,,,,,,39,1359,27
X,remember the name - fort minor,https://www.youtube.com/watch?v=VDvr08sCPOc,0,,,,,,84,1456,28
X,Vi er nummer ét - Robbie Rådden,https://www.youtube.com/watch?v=dQvNLe6w0ag,0,,,yeet,,,46,1556,29
X,Badeland,https://www.youtube.com/watch?v=VOZqjdLR2pE,75,Balladebad,,,X,,115,1558,30
X,bomber og bomber,https://www.youtube.com/watch?v=wzBJVbb-L9M,39,en flaske  jæger og 7  red bull koster 550 i kb,,,X,,4,1570,31
X,GhostBusters Theme Song,https://www.youtube.com/watch?v=m9We2XsVZfc,10,,,,,,63,1637,32
X,Where dem girls at,https://youtu.be/CcT3NTZYmiI,2,Skud ud til 3. kvadrant,x,,,,31,1694,34
X,arne han er for cool,https://www.youtube.com/watch?v=IVy15HuWL5A,45,,,,,,109,1758,35
X,welcome to the club (nightcore) - manian,https://www.youtube.com/watch?v=S_Q-fOj9Mho,6,,,,,,38,1786,36
X,boscha bvass,https://www.youtube.com/watch?v=VLW1ieY4Izw,0,Skud ud til russer,x,,,,41,1790,121
X,i follow rivers - lykke li,https://youtu.be/K3JGxj2rvAs,162,,,,,,12,1800,122
X,roskilde sangen - jesu brødre,https://www.youtube.com/watch?v=ofFBDQddYBY,20,,,,,,74,1810,123
X,umbrella,https://youtu.be/CvBfHwUxHIk,0,Skud ud til stærke kvinder,,,,,122,1820,124
X,one punch man,https://youtu.be/QImBolnTVH8,8,Mrs. Obama get down *insæt slå lyd*,https://youtu.be/6HDDjHEKfn0,,,,124,1821,125
X,songify the room,https://www.youtube.com/watch?v=ttKn1eGKTew,77,Skud ud til Chris Brown,,,,,125,1822,126
X,Chinese rap,https://www.youtube.com/watch?v=DFeHaXuxZ0o,65,"Vi vil gerne undskylde, hvis det sidste indslag fornærmerede nogen. Her kommer et skud ud til coronavirus",,,,,126,1823,127
X,pump it,https://youtu.be/1hLIXrlpRe8,0,"Mr. speaker, we can never compromise to black",,,,,127,1824,128
X,fast car,https://www.youtube.com/watch?v=5yXQJBU8A28,52,Rocktown er en fartbølle,,,"
",,68,1961,37
X,scatman,https://www.youtube.com/watch?v=pVHKp6ffURY,78,skud ud til skippi di,,,,,98,1990,38
X,Bingo - ADHD,https://www.youtube.com/watch?v=O5y1YE-vVT0,30,,,,,,86,2077,39
X,dont stop me now - queen,https://www.youtube.com/watch?v=HgzGwKwLmgM,35,,,,,,99,2091,40
X,blah blah blah - armin van buuren,https://www.youtube.com/watch?v=mfJhMfOPWdE,28,,,,,,14,2113,41
X,gecko (overdrive) - oliver heldens,https://www.youtube.com/watch?v=Rt25H3OqT5g,16,,,,,,15,2335,42
X,shutdown - skepta,https://www.youtube.com/watch?v=MQOG5BkY2Bc,40,,,,,,27,2638,44
X,everytime we touch (nightcore) - cascada,https://www.youtube.com/watch?v=uKDuIhNVLyg,15,,,,,,36,2682,45
X,the way you make me feel,https://youtu.be/HzZ_urpj4As,63,Skud ud til pædofili ,x,,X,,30,2775,46
